"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000219039.2",2.34440757184511,-2.08556058446,0.460886807359579,-4.52510367221872,6.03659068338342e-06,0.00357948268272196
"ENSG00000112276.12",147.03667181792,0.987272041771572,0.218378069389167,4.52093035043814,6.15684444521794e-06,0.00358673994119135
"ENSG00000143469.15",96.9936975187872,1.6857822427204,0.373312962192488,4.51573455370986,6.30976628625134e-06,0.00361244998795279
"ENSG00000167676.3",1254.81723534284,1.91336513418201,0.425482108653919,4.49693440750129,6.89402444524756e-06,0.00388005043608289
"ENSG00000218416.4",28.7881129754174,-1.53973763716317,0.342943839093465,-4.48976614139883,7.13014104395058e-06,0.00394605772509038
"ENSG00000101098.11",16.0515891612502,1.43612968194718,0.320361181379141,4.48284550507868,7.36542547441392e-06,0.00397326648694905
"ENSG00000104112.7",1620.35758580111,1.84063118509214,0.410735042077017,4.48131032547012,7.41861477416253e-06,0.00397326648694905
"ENSG00000167654.16",68.5084134857162,1.57634715180141,0.353519413313091,4.45901156326408,8.23384795099522e-06,0.00428982435990869
"ENSG00000223403.3",45.7429460514888,1.26657635962817,0.284105298844089,4.45812297335307,8.26804670945481e-06,0.00428982435990869
"ENSG00000086619.12",3292.99936556965,1.55020182529479,0.34883008136431,4.44400270536243,8.83004931842368e-06,0.00451093257950118
"ENSG00000149972.9",52.1058585587676,1.69038029462322,0.380769344655778,4.43938126413866,9.02178708471145e-06,0.00453905245355952
"ENSG00000254206.4",69.6335926279454,-1.32584275244578,0.298976175277594,-4.43461005284036,9.22390917193479e-06,0.004567915844118
"ENSG00000171954.11",18.4327071026991,-1.68497407842751,0.380320528731681,-4.4304052795853,9.40561539171045e-06,0.004567915844118
"ENSG00000225465.8",22.2217577387374,0.985182343240728,0.222529506008179,4.42719871586161,9.54647778576911e-06,0.004567915844118
"ENSG00000174460.3",27.2350159923373,1.2094912537704,0.273310851289114,4.42533199126797,9.62940760971691e-06,0.004567915844118
