"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TCL1A",187.026259017748,2.10819453111029,0.471091012167718,4.47513214359465,7.63640685066265e-06,0.00231353536022228

"RP11-288C17.1",1.0222629132139,-2.05778784602297,0.459875577980995,-4.47466215765867,7.65322257830883e-06,0.00231353536022228

"RP11-1112C15.1",3.14640665949618,2.65358549822717,0.593270318373095,4.47281014412454,7.71983145104159e-06,0.00231353536022228

"XKR7",85.3228717375919,1.58405479743073,0.35422936359962,4.47183367672806,7.7551735340688e-06,0.00231353536022228

"RP11-169D4.1",16.3531388896446,1.01409743518351,0.226885604320407,4.46964203930455,7.83506135835677e-06,0.00231353536022228

"HAS1",203.814431396036,1.55858157752402,0.348964455066166,4.46630467629862,7.95822526203726e-06,0.00231353536022228

"SLC39A2",10.6728591936824,-1.64525384532642,0.368396718684896,-4.46598398378698,7.97015726572266e-06,0.00231353536022228

"CTB-36O1.7",50.6316387865776,1.77790291288361,0.398225585616697,4.46456224084729,8.02326233327707e-06,0.00231353536022228

"CDH19",243.112581204125,1.28167794013561,0.288094079565769,4.44881735184362,8.63444009986813e-06,0.00246849048632897

"RFPL1S",24.4028051661604,0.818562698107507,0.18413068173626,4.44555296482298,8.76660780756061e-06,0.00247644861068183

"AQP4",40.2069291630477,1.22387987475424,0.275370586364068,4.44448294537944,8.81034962692868e-06,0.00247644861068183

"UNC5D",30.7757492048451,1.54952219148153,0.349607994326304,4.43217036403149,9.32892593183347e-06,0.00258378616590956

"FAM163A",59.3773283356437,1.16659300806066,0.263234710606825,4.43175979858948,9.34671069613611e-06,0.00258378616590956

"TNR",103.503008709619,1.3337244611341,0.30142022851231,4.42480077636737,9.65313249579723e-06,0.00262818900689144

"CFL1P5",10.8734611797979,-0.659611110874044,0.14907991613347,-4.42454710186113,9.664481683986e-06,0.00262818900689144

"VSTM2A",30.0460328616089,1.59577203423447,0.361190234345159,4.41809296734619,9.95755913426783e-06,0.00268605157646875

